scan 720/11/202208:13:50						
temp(C)	power	time(seconds)				
67,06658173	0,150726199	3725,248291				
67,16841125	0,158499792	3731,359619				
67,27037048	0,169747636	3737,475098				
67,37231445	0,179418683	3743,592529				
67,47432709	0,188781321	3749,71582				
67,57609558	0,196696162	3755,821289				
67,67801666	0,204678684	3761,935303				
67,779953	0,21021314	3768,051025				
67,88191223	0,219123378	3774,169434				
67,9838562	0,230236918	3780,286377				
68,08580017	0,240019858	3786,400635				
68,18778992	0,243674979	3792,522949				
68,28972626	0,249089137	3798,640625				
68,39167023	0,263047099	3804,757813				
68,4937439	0,277373344	3810,881104				
68,59568024	0,287453562	3816,996094				
68,6975174	0,307387382	3823,105713				
68,79941559	0,323868871	3829,219727				
68,90132141	0,331929952	3835,334961				
69,0031662	0,342276961	3841,443604				
69,10504913	0,360028774	3847,557617				
69,20692444	0,380827576	3853,670654				
69,30884552	0,392466366	3859,785889				
69,41064453	0,404269427	3865,891846				
69,51242828	0,414270163	3872,000977				
69,61438751	0,416045159	3878,119141				
69,71637726	0,418759108	3884,236816				
69,81832123	0,423652798	3890,352051				
69,92018127	0,434684485	3896,466309				
70,02218628	0,436106086	3902,585693				
70,12411499	0,437941581	3908,700684				
70,22602081	0,441819042	3914,818115				
70,32793427	0,438621491	3920,929932				
70,42985535	0,438839525	3927,045654				
70,5316925	0,43833217	3933,153809				
70,6336441	0,439729661	3939,274902				
70,73551178	0,440102041	3945,385986				
70,83744049	0,4419128	3951,499023				
70,93937683	0,438518345	3957,617676				
71,04125214	0,437222511	3963,729492				
71,14320374	0,434245378	3969,847412				
71,24506378	0,431322098	3975,957764				
71,34701538	0,429526567	3982,075684				
71,44889832	0,428683758	3988,188721				
71,55083466	0,427814066	3994,305176				
71,65278625	0,428115726	4000,421875				
71,75469971	0,425827205	4006,536865				
71,85667419	0,421344101	4012,654785				
71,95860291	0,413036138	4018,771973				
72,06060791	0,397884846	4024,891357				
72,16253662	0,387901008	4031,006592				
72,26447296	0,384636581	4037,121338				
72,36634827	0,373294204	4043,234131				
72,46832275	0,351386219	4049,354492				
72,57025146	0,337527096	4055,470703				
72,67215729	0,30725643	4061,583496				
72,77410889	0,267401487	4067,701904				
72,87598419	0,249201417	4073,813721				
72,97787476	0,242450699	4079,92749				
73,07984924	0,234455809	4086,04834				
73,1818924	0,227118596	4092,169922				
73,28381348	0,215260103	4098,284668				
73,38577271	0,21083802	4104,401855				
73,48781586	0,20251669	4110,522949				
73,58963013	0,188893288	4116,632324				
73,69167328	0,180088073	4122,756836				
73,79351044	0,166122064	4128,865234				
73,89537048	0,153261721	4134,977539				
73,99732971	0,137420729	4141,093262				
74,09928131	0,12230888	4147,213379				
74,2011795	0,106319383	4153,324707				
74,30313873	0,096532315	4159,444824				
74,40512085	0,083842434	4165,561523				
74,5070343	0,063689031	4171,678223				
74,60897827	0,049040284	4177,793457				
74,71082306	0,03155176	4183,904785				
74,81278992	0,020772874	4190,021484				
74,91473389	0,009036163	4196,141602				
75,01661682	-0,005318528	4202,25293				
75,11856842	-0,006147972	4208,370117				
75,22055054	-0,009342299	4214,48877				
75,32248688	-0,003674593	4220,604492				
75,42441559	3,31E-05	4226,71875				
75,52630615	0,001546523	4232,834961				
75,6282196	-0,000593065	4238,947266				
75,73016357	-0,00290793	4245,064941				
75,83198547	-0,003005948	4251,17334				
75,933815	-0,00479822	4257,283691				
76,03575134	-0,010837198	4263,400879				
76,13768768	-0,020918952	4269,51709				
76,23970032	-0,022338789	4275,638184				
76,34169006	-0,017034315	4281,756836				
76,44364166	-0,009021956	4287,87207				
76,54557037	-0,002037975	4293,990234				
76,64755249	0,006095807	4300,111328				
76,74946594	0,00915549	4306,223145				
76,85134125	0,01303747	4312,336426				
76,95315552	0,022546099	4318,443848				
