1ptspool-77um-stp2l8-25deg-250rpm24/11/202208:29:18	
Time (seconds)	Raw Heat Rate (uJ / s)
1383	-97,35160967
1384	-97,34655614
1385	-97,34167736
1386	-97,3370063
1387	-97,33249817
1388	-97,32821725
1389	-97,32420282
1390	-97,32033153
1391	-97,31649108
1392	-97,31269467
1393	-97,30895837
1394	-97,30520097
1395	-97,30141384
1396	-97,29770047
1397	-97,29412374
1398	-97,29077018
1399	-97,28766224
1400	-97,28470976
1401	-97,28182208
1402	-97,27903106
1403	-97,27630631
1404	-97,27357757
1405	-97,27095275
1406	-97,26852886
1407	-97,26622438
1408	-97,26398475
1409	-97,26194988
1410	-97,26023522
1411	-97,25878866
1412	-97,2575633
1413	-97,25652679
1414	-97,25562084
1415	-97,25477884
1416	-97,25393865
1417	-97,25296841
1418	-97,25179233
1419	-97,25044201
1420	-97,24887125
1421	-97,24712113
1422	-97,24531479
1423	-97,24355719
1424	-97,24181141
1425	-97,23999192
1426	-97,23805427
1427	-97,23600159
1428	-97,23388673
1429	-97,23182254
1430	-97,22984876
1431	-97,2279394
1432	-97,22614681
1433	-97,22451525
1434	-97,2229926
1435	-97,22157929
1436	-97,22028622
1437	-97,21906277
1438	-97,21774156
1439	-97,21622789
1440	-97,21451535
1441	-97,21256941
1442	-97,21035835
1443	-97,20785855
1444	-97,20495022
1445	-97,20161046
1446	-97,19797784
1447	-97,19413913
1448	-97,19011533
1449	-97,1859743
1450	-97,18177393
1451	-97,17749837
1452	-97,17310294
1453	-97,16860416
1454	-97,16403292
1455	-97,15932876
1456	-97,15443562
1457	-97,14934505
1458	-97,14404878
1459	-97,13853642
